"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","PoolArea","PoolQC","Fence","MoSold","YrSold","SaleType","SaleCondition","TotalSF","TotalBaths","HouseAge","RemodelAge","HasPool","HasGarage","HasFireplace","HasBasement","OverallQual_Squared","SalePrice"
20,"RL",70,11200,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,"No","Rec",906,134,1040,5,"Y","SBrkr",1040,0,1040,1,0,1,0,3,3,5,0,0,"Detchd",1965,"Unf",1,384,3,3,"Y",0,0,0,"None",2,2008,"WD","Normal",2080,2,43,43,0,1,0,1,25,11.7714361601217
60,"RL",85,11924,"IR1","Inside","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","WdShing","Wd Shng","Stone",286,5,3,"PConc",5,3,"No","GLQ",998,177,1175,5,"Y","SBrkr",1182,1142,2324,1,0,3,0,4,5,11,2,4,"BuiltIn",2005,"Fin",3,736,3,3,"Y",147,0,0,"None",7,2006,"New","Partial",3499,4,1,0,0,1,1,1,81,12.7512996960135
20,"RL",68,12968,"IR2","Inside","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood","None",0,3,3,"CBlock",3,3,"No","ALQ",737,175,912,3,"Y","SBrkr",912,0,912,1,0,1,0,2,3,4,0,0,"Detchd",1962,"Unf",1,352,3,3,"Y",140,0,0,"None",9,2008,"WD","Normal",1824,2,46,46,0,1,0,1,25,11.8775685785581
20,"RL",91,10652,"IR1","Inside","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd","Stone",306,4,3,"PConc",4,3,"Av","Unf",0,1494,1494,5,"Y","SBrkr",1494,0,1494,0,0,2,0,3,4,7,1,4,"Attchd",2006,"RFn",3,840,3,3,"Y",160,0,0,"None",8,2007,"New","Partial",2988,2,1,0,0,1,1,1,49,12.5407575715773
20,"RL",68,10920,"IR1","Corner","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd","BrkFace",212,3,3,"CBlock",3,3,"No","BLQ",733,520,1253,3,"Y","SBrkr",1253,0,1253,1,0,1,1,2,3,5,1,2,"Attchd",1960,"RFn",1,352,3,3,"Y",0,0,0,"GdWo",5,2008,"WD","Normal",2506,2.5,48,48,0,1,1,1,36,11.9640010843304
45,"RM",51,6120,"Reg","Corner","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",0,3,3,"BrkTil",3,3,"No","Unf",0,832,832,5,"Y","FuseA",854,0,854,0,0,1,0,2,3,5,0,0,"Detchd",1991,"Unf",2,576,3,3,"Y",48,0,0,"GdPrv",7,2007,"WD","Normal",1686,1,78,6,0,1,0,1,49,11.7905572015685
20,"RL",68,11241,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,3,3,"CBlock",3,3,"No","ALQ",578,426,1004,5,"Y","SBrkr",1004,0,1004,1,0,1,0,2,3,5,1,3,"Attchd",1970,"Fin",2,480,3,3,"Y",0,0,0,"None",3,2010,"WD","Normal",2008,2,40,40,0,1,1,1,36,11.9117015849276
90,"RL",72,10791,"Reg","Inside","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd","None",0,3,3,"Slab",0,0,"None","None",0,0,0,3,"Y","SBrkr",1296,0,1296,0,0,2,0,2,3,6,0,0,"CarPort",1967,"Unf",2,516,3,3,"Y",0,0,0,"None",10,2006,"WD","Normal",1296,2,39,39,0,1,0,0,16,11.4075649493124
20,"RL",66,13695,"Reg","Inside","SawyerW","RRAe","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,3,3,"PConc",3,3,"No","GLQ",646,468,1114,5,"Y","SBrkr",1114,0,1114,1,0,1,1,3,4,6,0,0,"Detchd",2004,"Unf",2,576,3,3,"Y",0,0,0,"None",6,2008,"WD","Normal",2228,2.5,4,4,0,1,0,1,25,11.9766594812024
20,"RL",70,7560,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","BrkFace","Plywood","None",0,3,3,"CBlock",3,3,"No","LwQ",504,525,1029,3,"Y","SBrkr",1339,0,1339,0,0,1,0,3,3,6,0,0,"Attchd",1958,"Unf",1,294,3,3,"Y",0,0,0,"MnPrv",5,2009,"COD","Abnorml",2368,1,51,44,0,1,0,1,25,11.8422292121128
60,"RL",101,14215,"IR1","Corner","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",380,4,3,"PConc",5,3,"Av","Unf",0,1158,1158,5,"Y","SBrkr",1158,1218,2376,0,0,3,1,4,4,9,1,4,"BuiltIn",2005,"RFn",3,853,3,3,"Y",240,0,0,"None",11,2006,"New","Partial",3534,3.5,1,0,0,1,1,1,64,12.6925031124614
45,"RM",57,7449,"Reg","Inside","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,"No","Unf",0,637,637,5,"Y","FuseF",1108,0,1108,0,0,1,0,3,4,6,1,4,"Attchd",1930,"Unf",1,280,3,3,"N",0,0,0,"GdPrv",6,2007,"WD","Normal",1745,1,77,57,0,1,1,1,49,11.8451027773086
20,"RL",75,9742,"Reg","Inside","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",281,4,3,"PConc",4,3,"No","Unf",0,1777,1777,5,"Y","SBrkr",1795,0,1795,0,0,2,0,3,4,7,1,4,"Attchd",2002,"RFn",2,534,3,3,"Y",171,0,0,"None",9,2008,"WD","Normal",3572,2,6,6,0,1,1,1,64,12.3458345879053
120,"RM",44,4224,"Reg","Inside","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CemntBd","CmentBd","None",0,3,3,"PConc",4,3,"No","GLQ",840,200,1040,3,"Y","SBrkr",1060,0,1060,1,0,1,0,3,3,6,1,3,"Attchd",1976,"Unf",2,572,3,3,"Y",100,0,0,"None",6,2007,"WD","Normal",2100,2,31,31,0,1,1,1,25,11.7745202026587
20,"RL",68,8246,"IR1","Inside","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","None",0,3,4,"CBlock",3,3,"Mn","Rec",188,204,1060,5,"Y","SBrkr",1060,0,1060,1,0,1,0,3,4,6,1,3,"Attchd",1968,"Unf",1,270,3,3,"Y",406,0,0,"MnPrv",5,2010,"WD","Normal",2120,2,42,9,0,1,1,1,25,11.9447078813958
20,"RL",110,14230,"Reg","Corner","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",640,4,3,"PConc",4,3,"No","Unf",0,1566,1566,5,"Y","SBrkr",1600,0,1600,0,0,2,0,3,4,7,1,4,"Attchd",2007,"RFn",3,890,3,3,"Y",0,0,0,"None",7,2009,"WD","Normal",3166,2,2,2,0,1,1,1,64,12.4541039123522
20,"RL",60,7200,"Reg","Corner","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng","None",0,3,3,"CBlock",3,3,"Mn","BLQ",234,180,900,3,"Y","SBrkr",900,0,900,0,1,1,0,3,4,5,0,0,"Detchd",2005,"Unf",2,576,3,3,"Y",222,0,0,"None",5,2010,"WD","Normal",1800,1.5,59,10,0,1,0,1,25,11.8115474774603
20,"RL",98,11478,"Reg","Inside","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd","Stone",200,4,3,"PConc",5,3,"No","GLQ",1218,486,1704,5,"Y","SBrkr",1704,0,1704,1,0,2,0,3,4,7,1,4,"Attchd",2008,"RFn",3,772,3,3,"Y",0,0,0,"None",5,2010,"WD","Normal",3408,3,3,2,0,1,1,1,64,12.6313403809345
20,"RL",47,16321,"IR1","CulDSac","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd","None",0,3,3,"CBlock",3,3,"Gd","BLQ",1277,207,1484,3,"Y","SBrkr",1600,0,1600,1,0,1,0,2,3,6,2,4,"Attchd",1957,"RFn",1,319,3,3,"Y",288,0,0,"None",12,2006,"WD","Normal",3084,2,49,9,0,1,1,1,25,12.2428866186529
30,"RM",60,6324,"IR1","Inside","BrkSide","Feedr","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,"No","Unf",0,520,520,2,"N","SBrkr",520,0,520,0,0,1,0,1,2,4,0,0,"Detchd",1920,"Unf",1,240,2,3,"Y",49,0,0,"None",5,2008,"WD","Normal",1040,1,81,58,0,1,0,1,16,11.1345890242503
70,"C (all)",50,8500,"Reg","Inside","IDOTRR","Feedr","1Fam","2Story",4,4,1920,1950,"Gambrel","BrkFace","BrkFace","None",0,3,2,"BrkTil",3,3,"No","Unf",0,649,649,3,"N","SBrkr",649,668,1317,0,0,1,0,3,3,6,0,0,"Detchd",1920,"Unf",1,250,3,2,"N",0,0,0,"MnPrv",7,2008,"WD","Normal",1966,1,88,58,0,1,0,1,16,10.5966347330961
20,"RL",68,8544,"IR1","CulDSac","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,"No","Unf",0,1228,1228,4,"Y","SBrkr",1228,0,1228,0,0,1,1,3,4,6,0,0,"Attchd",1966,"Unf",1,271,3,3,"Y",0,0,0,"MnPrv",6,2008,"WD","Normal",2456,1.5,42,2,0,1,0,1,25,11.9140478236443
20,"RL",85,11049,"Reg","Corner","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","None",0,4,3,"PConc",5,3,"Av","Unf",0,1234,1234,5,"Y","SBrkr",1234,0,1234,0,0,2,0,3,4,7,0,0,"Attchd",2007,"RFn",2,484,3,3,"Y",0,0,0,"None",1,2008,"WD","Normal",2468,2,1,1,0,1,0,1,64,12.1001564199386
20,"RL",70,10552,"IR1","Inside","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","BrkFace","None",0,3,3,"CBlock",3,3,"No","Rec",1018,380,1398,4,"Y","SBrkr",1700,0,1700,0,1,1,1,4,4,6,1,4,"Attchd",1959,"RFn",2,447,3,3,"Y",0,0,0,"None",4,2010,"WD","Normal",3098,2,51,51,0,1,1,1,25,12.0167264737993
120,"RL",60,7313,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",246,5,3,"PConc",5,3,"No","GLQ",1153,408,1561,5,"Y","SBrkr",1561,0,1561,1,0,2,0,2,5,6,1,4,"Attchd",2005,"Fin",2,556,3,3,"Y",203,0,0,"None",8,2007,"WD","Normal",3122,3,2,2,0,1,1,1,81,12.5335762121686
60,"RL",108,13418,"Reg","Inside","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",132,4,3,"PConc",5,3,"Av","Unf",0,1117,1117,5,"Y","SBrkr",1132,1320,2452,0,0,3,1,4,4,9,1,4,"BuiltIn",2004,"Fin",3,691,3,3,"Y",113,0,0,"None",9,2006,"WD","Normal",3569,3.5,2,1,0,1,1,1,64,12.6410965558799
20,"RL",112,10859,"Reg","Corner","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,"No","Unf",0,1097,1097,5,"Y","SBrkr",1097,0,1097,0,0,1,1,3,3,6,0,0,"Attchd",1995,"Unf",2,672,3,3,"Y",392,0,0,"None",6,2009,"WD","Normal",2194,1.5,15,14,0,1,0,1,25,11.8844890214027
20,"RL",74,8532,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,3,3,"CBlock",3,3,"No","Rec",1213,84,1297,4,"Y","SBrkr",1297,0,1297,0,1,1,0,3,3,5,1,3,"Attchd",1954,"Fin",2,498,3,3,"Y",0,0,0,"None",10,2009,"WD","Normal",2594,1.5,55,19,0,1,1,1,25,11.9381932003746
20,"RL",68,7922,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd","None",0,3,4,"CBlock",3,3,"No","GLQ",731,326,1057,3,"Y","SBrkr",1057,0,1057,1,0,1,0,3,4,5,0,0,"Detchd",1953,"Unf",1,246,3,3,"Y",0,0,0,"None",1,2010,"WD","Abnorml",2114,2,57,3,0,1,0,1,25,11.5991031612113
90,"RL",65,6040,"Reg","Inside","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","AsbShng","Plywood","None",0,3,3,"PConc",0,0,"None","None",0,0,0,3,"N","FuseP",1152,0,1152,0,0,2,0,2,2,6,0,0,"None",0,"None",0,0,0,0,"N",0,0,0,"None",6,2008,"WD","AdjLand",1152,2,53,53,0,0,0,0,16,11.3144745262464
20,"RL",84,8658,"Reg","Inside","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,3,3,"CBlock",3,3,"No","Rec",643,445,1088,5,"Y","SBrkr",1324,0,1324,0,0,2,0,3,3,6,1,3,"Attchd",1965,"RFn",2,440,3,3,"Y",0,0,0,"GdWo",12,2006,"WD","Abnorml",2412,2,41,41,0,1,1,1,36,11.982929094216
20,"RL",115,16905,"Reg","Inside","Timber","Norm","1Fam","1Story",5,6,1959,1959,"Gable","VinylSd","VinylSd","None",0,3,4,"CBlock",3,3,"Gd","BLQ",967,383,1350,4,"Y","SBrkr",1328,0,1328,0,1,1,1,2,3,5,2,4,"Attchd",1959,"RFn",1,308,3,3,"P",0,0,0,"None",7,2007,"WD","Normal",2678,2,48,48,0,1,1,1,25,12.0435537160324
85,"RL",68,9180,"IR1","CulDSac","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","HdBoard","None",0,3,3,"CBlock",4,3,"Av","ALQ",747,0,840,4,"Y","SBrkr",884,0,884,1,0,1,0,2,4,5,0,0,"Attchd",1983,"RFn",2,504,3,4,"Y",240,0,0,"MnPrv",12,2007,"WD","Normal",1724,2,24,24,0,1,0,1,25,11.8775685785581
20,"RL",68,9200,"IR1","CulDSac","CollgCr","Norm","1Fam","1Story",5,6,1975,1980,"Hip","VinylSd","VinylSd","None",0,3,3,"CBlock",4,3,"Av","LwQ",280,167,938,3,"Y","SBrkr",938,0,938,1,0,1,0,3,3,5,0,0,"Detchd",1977,"Unf",1,308,3,3,"Y",145,0,0,"MnPrv",7,2008,"WD","Normal",1876,2,33,28,0,1,0,1,25,11.7772109596156
20,"RL",70,7945,"Reg","Inside","NAmes","Norm","1Fam","1Story",5,6,1959,1959,"Gable","BrkFace","Wd Sdng","None",0,3,3,"CBlock",3,3,"No","ALQ",179,465,1150,5,"Y","FuseA",1150,0,1150,1,0,1,0,3,3,6,0,0,"Attchd",1959,"RFn",1,300,3,3,"Y",0,0,0,"None",5,2006,"WD","Normal",2300,2,47,47,0,1,0,1,25,11.8565151693603
120,"RL",61,7658,"Reg","Inside","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",412,5,3,"PConc",5,3,"No","GLQ",456,1296,1752,5,"Y","SBrkr",1752,0,1752,1,0,2,0,2,5,6,1,4,"Attchd",2005,"RFn",2,576,3,3,"Y",196,0,0,"None",2,2010,"WD","Normal",3504,3,5,5,0,1,1,1,81,12.6757637259376
50,"RL",48,12822,"IR1","CulDSac","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","VinylSd","VinylSd","None",0,4,3,"PConc",5,3,"No","GLQ",1351,83,1434,5,"Y","SBrkr",1518,631,2149,1,0,1,1,1,4,6,1,5,"Attchd",2003,"RFn",2,670,3,3,"Y",168,0,0,"None",8,2009,"WD","Abnorml",3583,2.5,6,6,0,1,1,1,49,12.3870850123755
20,"FV",84,11096,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,"Av","GLQ",24,1632,1656,5,"Y","SBrkr",1656,0,1656,0,0,2,0,3,4,7,0,0,"Attchd",2006,"RFn",3,826,3,3,"Y",0,0,0,"None",7,2007,"WD","Normal",3312,2,1,1,0,1,0,1,64,12.4280154762679
190,"RM",33,4456,"Reg","Inside","OldTown","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","MetalSd","MetalSd","None",0,3,3,"BrkTil",3,3,"No","Unf",0,736,736,4,"Y","SBrkr",736,716,1452,0,0,2,0,2,3,8,0,0,"None",0,"None",0,0,0,0,"N",0,0,0,"None",6,2009,"New","Partial",2188,2,89,1,0,0,0,1,16,11.6351430976945
20,"RL",66,7742,"Reg","Inside","Sawyer","Norm","1Fam","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,"No","BLQ",763,192,955,5,"Y","SBrkr",955,0,955,1,0,1,0,3,3,6,0,0,"Attchd",1966,"Unf",1,386,3,3,"Y",0,0,0,"MnPrv",1,2007,"WD","Normal",1910,2,41,41,0,1,0,1,25,11.7519423654407
60,"RL",68,13869,"IR2","Corner","Gilbert","Norm","1Fam","2Story",6,6,1997,1997,"Gable","VinylSd","VinylSd","None",0,3,3,"PConc",4,3,"Av","GLQ",182,612,794,4,"Y","SBrkr",794,676,1470,0,1,2,0,3,3,6,0,0,"Attchd",1997,"Fin",2,388,3,3,"Y",0,0,0,"None",7,2007,"WD","Normal",2264,2.5,10,10,0,1,0,1,36,12.083905011556
50,"RM",52,6240,"Reg","Inside","BrkSide","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","Wd Sdng","Wd Sdng","None",0,3,3,"PConc",3,3,"No","Unf",0,816,816,3,"Y","SBrkr",816,0,1176,0,0,1,0,3,3,6,1,4,"Detchd",1985,"Unf",2,528,3,3,"Y",112,0,0,"MnPrv",9,2006,"WD","Normal",1632,1,72,56,0,1,1,1,36,11.6483301019764
90,"RM",110,8472,"IR2","Corner","IDOTRR","RRNn","Duplex","1Story",5,5,1963,1963,"Gable","Wd Sdng","Wd Sdng","None",0,2,3,"CBlock",4,3,"Gd","LwQ",104,0,816,3,"N","SBrkr",816,0,816,1,0,1,0,2,3,5,0,0,"CarPort",1963,"Unf",2,516,3,3,"Y",106,0,0,"None",5,2010,"WD","Normal",1632,2,47,47,0,1,0,1,25,11.6082356447746
20,"RL",68,50271,"IR1","Inside","Veenker","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShing","Wd Shng","None",0,4,3,"CBlock",5,3,"Gd","GLQ",1810,32,1842,4,"Y","SBrkr",1842,0,1842,2,0,0,1,0,4,5,1,4,"Attchd",1981,"Fin",3,894,3,3,"Y",857,0,0,"None",11,2006,"WD","Normal",3684,2.5,25,19,0,1,1,1,81,12.8609986132699
80,"RL",60,7134,"Reg","Inside","NAmes","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","MetalSd","MetalSd","None",0,3,3,"CBlock",3,3,"No","ALQ",384,0,384,3,"Y","SBrkr",1360,0,1360,0,0,1,0,3,3,6,1,3,"Detchd",1962,"Unf",2,572,3,3,"Y",0,0,0,"MnPrv",2,2007,"WD","Normal",1744,1,52,52,0,1,1,1,25,11.7752897294377
20,"RL",100,10175,"IR1","Inside","NAmes","Norm","1Fam","1Story",6,5,1964,1964,"Gable","HdBoard","Plywood","BrkFace",272,3,3,"CBlock",3,3,"No","BLQ",490,935,1425,4,"Y","SBrkr",1425,0,1425,0,0,2,0,3,3,7,1,4,"Attchd",1964,"RFn",2,576,3,3,"Y",0,0,0,"None",7,2008,"WD","Normal",2850,2,44,44,0,1,1,1,36,12.1034860567551
160,"FV",24,2645,"Reg","Inside","Somerst","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","MetalSd","MetalSd","BrkFace",456,4,3,"PConc",4,3,"No","GLQ",649,321,970,5,"Y","SBrkr",983,756,1739,1,0,2,1,3,4,7,0,0,"Attchd",1999,"Fin",2,480,3,3,"Y",115,0,0,"None",8,2009,"WD","Abnorml",2709,3.5,10,9,0,1,0,1,64,12.0581525154536
60,"RL",89,11645,"IR1","Corner","CollgCr","Norm","1Fam","2Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,4,3,"PConc",4,3,"No","Unf",0,860,860,5,"Y","SBrkr",860,860,1720,0,0,2,1,3,4,7,0,0,"Attchd",2004,"RFn",2,565,3,3,"Y",0,0,0,"None",8,2006,"WD","Normal",2580,2.5,2,2,0,1,0,1,49,12.1884177102915
60,"RL",66,13682,"IR2","CulDSac","StoneBr","Norm","1Fam","2Story",10,5,2006,2006,"Hip","VinylSd","VinylSd","BrkFace",1031,5,3,"PConc",5,3,"Gd","Unf",0,1410,1410,5,"Y","SBrkr",1426,1519,2945,0,0,3,1,3,4,10,1,4,"BuiltIn",2006,"Fin",3,641,3,3,"Y",192,0,0,"None",10,2006,"New","Partial",4355,3.5,0,0,0,1,1,1,100,12.9917534274931
20,"RL",60,7200,"Reg","Inside","CollgCr","Norm","1Fam","1Story",5,7,1972,1972,"Gable","HdBoard","HdBoard","None",0,3,3,"CBlock",3,3,"Av","ALQ",632,148,780,5,"Y","SBrkr",780,0,780,0,0,1,0,2,3,4,0,0,"Detchd",1973,"Unf",1,352,3,3,"Y",196,0,0,"MnPrv",1,2008,"WD","Normal",1560,1,36,36,0,1,0,1,25,11.7352686961137
